Date,Category,Amount,Description
2023-08-29,Education,8090.8,Education expense
2023-07-21,Dining,6352.37,Dining expense
2024-01-27,Rent,8721.03,Rent expense
2023-07-30,Groceries,8046.54,Groceries expense
2023-11-20,Groceries,1906.37,Groceries expense
2023-06-09,Miscellaneous,8930.96,Miscellaneous expense
2024-04-09,Subscriptions,5416.46,Subscriptions expense
2023-09-02,Education,8084.03,Education expense
2024-01-05,Groceries,8966.11,Groceries expense
2024-01-26,Dining,3214.13,Dining expense
2024-05-28,Utilities,1145.02,Utilities expense
2023-07-18,Shopping,2317.95,Shopping expense
2023-12-28,Rent,4299.72,Rent expense
2024-04-20,Transport,8189.25,Transport expense
2023-11-14,Utilities,8614.27,Utilities expense
2023-11-24,Entertainment,119.17,Entertainment expense
2024-03-02,Shopping,5131.94,Shopping expense
2023-07-15,Miscellaneous,4203.24,Miscellaneous expense
2023-08-30,Education,2259.97,Education expense
2023-12-19,Dining,1242.66,Dining expense
2023-11-20,Miscellaneous,3409.27,Miscellaneous expense
2024-01-22,Shopping,9431.95,Shopping expense
2023-08-28,Groceries,3265.87,Groceries expense
2023-07-12,Rent,5211.97,Rent expense
2023-09-22,Rent,7045.04,Rent expense
2024-05-13,Rent,3668.11,Rent expense
2023-07-08,Subscriptions,9719.23,Subscriptions expense
2023-10-20,Subscriptions,9626.35,Subscriptions expense
2023-10-21,Groceries,2555.23,Groceries expense
2024-05-15,Subscriptions,4997.62,Subscriptions expense
2023-11-25,Miscellaneous,3043.74,Miscellaneous expense
2024-03-28,Dining,2884.16,Dining expense
2024-02-26,Utilities,417.03,Utilities expense
2023-10-09,Dining,6115.17,Dining expense
2023-07-03,Miscellaneous,5051.66,Miscellaneous expense
2023-08-21,Groceries,562.21,Groceries expense
2023-10-23,Education,2822.53,Education expense
2023-11-13,Transport,9087.25,Transport expense
2023-07-18,Education,2433.64,Education expense
2023-09-20,Utilities,1491.7,Utilities expense
2024-03-09,Utilities,4920.05,Utilities expense
2024-01-11,Education,9857.22,Education expense
2023-10-28,Groceries,2458.45,Groceries expense
2024-03-10,Subscriptions,6737.75,Subscriptions expense
2023-09-20,Subscriptions,7628.12,Subscriptions expense
2023-10-15,Entertainment,2414.49,Entertainment expense
2023-08-14,Groceries,7295.75,Groceries expense
2024-05-13,Subscriptions,3709.44,Subscriptions expense
2023-09-12,Utilities,6341.44,Utilities expense
2023-10-09,Subscriptions,6353.62,Subscriptions expense
2024-02-28,Miscellaneous,5380.96,Miscellaneous expense
2023-07-05,Subscriptions,948.38,Subscriptions expense
2023-07-25,Education,8361.26,Education expense
2024-04-01,Education,3241.76,Education expense
2024-05-08,Travel,1905.86,Travel expense
2023-10-12,Groceries,455.71,Groceries expense
2023-06-15,Healthcare,5929.38,Healthcare expense
2023-10-31,Subscriptions,6791.77,Subscriptions expense
2024-02-08,Healthcare,215.05,Healthcare expense
2023-11-18,Miscellaneous,5145.33,Miscellaneous expense
2024-01-31,Miscellaneous,2303.63,Miscellaneous expense
2024-03-01,Dining,6469.47,Dining expense
2023-10-03,Travel,1784.95,Travel expense
2023-07-06,Education,6924.83,Education expense
2023-10-26,Utilities,3898.02,Utilities expense
2023-11-03,Utilities,9370.46,Utilities expense
2023-12-11,Entertainment,1418.33,Entertainment expense
2023-11-02,Miscellaneous,3443.61,Miscellaneous expense
2024-02-28,Utilities,1179.06,Utilities expense
2023-06-06,Utilities,9250.7,Utilities expense
2023-10-22,Education,8779.53,Education expense
2024-04-18,Shopping,2616.52,Shopping expense
2024-01-13,Rent,6616.84,Rent expense
2023-10-22,Dining,8181.36,Dining expense
2023-06-15,Education,5574.25,Education expense
2023-09-05,Education,5320.02,Education expense
2023-07-28,Transport,2456.43,Transport expense
2023-12-07,Groceries,976.37,Groceries expense
2023-12-29,Shopping,8977.3,Shopping expense
2023-12-11,Rent,9009.16,Rent expense
2023-10-14,Shopping,6349.36,Shopping expense
2023-06-07,Miscellaneous,3423.35,Miscellaneous expense
2023-08-18,Healthcare,3524.64,Healthcare expense
2023-06-12,Miscellaneous,7273.26,Miscellaneous expense
2023-10-10,Rent,8976.25,Rent expense
2023-06-18,Miscellaneous,8876.51,Miscellaneous expense
2024-05-03,Transport,7809.76,Transport expense
2023-10-20,Education,6438.21,Education expense
2023-07-17,Miscellaneous,887.19,Miscellaneous expense
2023-09-30,Healthcare,1658.21,Healthcare expense
2024-03-15,Dining,8990.61,Dining expense
2023-07-20,Entertainment,6083.97,Entertainment expense
2024-05-27,Healthcare,141.51,Healthcare expense
2024-01-01,Healthcare,1059.64,Healthcare expense
2024-03-05,Entertainment,6651.84,Entertainment expense
2024-05-31,Miscellaneous,100.36,Miscellaneous expense
2023-06-25,Shopping,1650.04,Shopping expense
2023-09-27,Groceries,5509.9,Groceries expense
2024-04-10,Subscriptions,6934.36,Subscriptions expense
2023-11-11,Travel,6537.01,Travel expense
2024-01-24,Entertainment,2281.48,Entertainment expense
2024-02-02,Healthcare,7136.18,Healthcare expense
2023-11-27,Groceries,2410.63,Groceries expense
2023-11-16,Miscellaneous,3287.73,Miscellaneous expense
2023-06-23,Transport,7477.59,Transport expense
2023-11-02,Dining,6513.85,Dining expense
2023-06-30,Transport,8499.77,Transport expense
2023-08-23,Miscellaneous,6593.25,Miscellaneous expense
2024-03-16,Education,5704.67,Education expense
2023-07-31,Transport,982.06,Transport expense
2024-05-26,Travel,3708.77,Travel expense
2023-06-13,Dining,2688.76,Dining expense
2023-11-23,Groceries,2477.7,Groceries expense
2024-02-22,Healthcare,9731.46,Healthcare expense
2023-09-07,Entertainment,3961.32,Entertainment expense
2024-02-20,Education,8925.86,Education expense
2023-10-18,Healthcare,6329.83,Healthcare expense
2024-03-02,Transport,7958.37,Transport expense
2024-05-17,Utilities,5051.24,Utilities expense
2023-07-13,Groceries,5790.19,Groceries expense
2023-11-16,Groceries,4950.55,Groceries expense
2023-10-19,Rent,1992.67,Rent expense
2023-12-27,Shopping,7238.4,Shopping expense
2024-04-14,Rent,2843.69,Rent expense
2023-06-14,Utilities,291.94,Utilities expense
2023-08-13,Shopping,6472.45,Shopping expense
2023-12-02,Travel,1812.25,Travel expense
2023-10-22,Groceries,9407.56,Groceries expense
2023-08-27,Transport,9541.59,Transport expense
2024-05-16,Miscellaneous,9152.9,Miscellaneous expense
2024-02-18,Transport,3733.08,Transport expense
2024-01-17,Healthcare,203.79,Healthcare expense
2024-05-11,Education,9286.77,Education expense
2023-11-09,Miscellaneous,4310.43,Miscellaneous expense
2023-08-11,Transport,9668.22,Transport expense
2024-05-09,Entertainment,9638.02,Entertainment expense
2024-03-24,Healthcare,8537.44,Healthcare expense
2023-06-10,Shopping,2979.77,Shopping expense
2023-11-09,Subscriptions,3881.72,Subscriptions expense
2023-08-11,Entertainment,8518.81,Entertainment expense
2023-12-19,Entertainment,3203.37,Entertainment expense
2024-03-04,Transport,1736.45,Transport expense
2024-01-12,Miscellaneous,5590.17,Miscellaneous expense
2023-11-17,Shopping,9364.74,Shopping expense
2023-10-10,Education,6975.5,Education expense
2023-09-06,Shopping,5722.11,Shopping expense
2024-01-19,Transport,1016.91,Transport expense
2023-08-29,Rent,6169.32,Rent expense
2023-06-14,Miscellaneous,9901.04,Miscellaneous expense
2023-08-14,Travel,1443.84,Travel expense
2023-07-08,Rent,5207.38,Rent expense
2023-07-25,Groceries,8779.86,Groceries expense
2023-08-27,Education,7420.65,Education expense
2023-11-28,Utilities,6985.31,Utilities expense
2023-07-18,Rent,7039.72,Rent expense
2024-03-22,Travel,3626.94,Travel expense
2024-01-31,Travel,2971.24,Travel expense
2023-10-06,Shopping,8103.14,Shopping expense
2023-11-14,Subscriptions,8110.63,Subscriptions expense
2024-04-25,Subscriptions,8677.37,Subscriptions expense
2023-09-26,Travel,9136.74,Travel expense
2023-10-21,Groceries,5137.86,Groceries expense
2023-07-13,Dining,5040.09,Dining expense
2023-12-13,Subscriptions,7993.04,Subscriptions expense
2023-06-11,Healthcare,6517.14,Healthcare expense
2024-04-13,Dining,7034.57,Dining expense
2023-06-09,Subscriptions,7968.14,Subscriptions expense
2023-08-19,Transport,8905.55,Transport expense
2024-04-07,Rent,3413.05,Rent expense
2024-04-24,Entertainment,3787.05,Entertainment expense
2023-08-06,Entertainment,985.12,Entertainment expense
2023-08-17,Miscellaneous,5803.89,Miscellaneous expense
2024-02-21,Dining,407.63,Dining expense
2023-06-20,Rent,4682.7,Rent expense
2023-10-25,Groceries,5449.31,Groceries expense
2024-01-21,Miscellaneous,2901.09,Miscellaneous expense
2023-08-03,Healthcare,5928.79,Healthcare expense
2023-08-20,Entertainment,353.48,Entertainment expense
2023-07-10,Utilities,421.61,Utilities expense
2023-08-18,Groceries,8234.88,Groceries expense
2024-05-09,Miscellaneous,3633.9,Miscellaneous expense
2024-03-13,Shopping,1314.25,Shopping expense
2023-06-01,Rent,5246.32,Rent expense
2024-02-21,Miscellaneous,7711.44,Miscellaneous expense
2023-10-12,Shopping,2197.42,Shopping expense
2024-01-01,Shopping,6247.76,Shopping expense
2024-04-10,Subscriptions,899.21,Subscriptions expense
2024-01-31,Education,564.23,Education expense
2023-06-04,Healthcare,5336.98,Healthcare expense
2024-02-07,Healthcare,5429.32,Healthcare expense
2023-06-18,Healthcare,6392.43,Healthcare expense
2024-01-05,Shopping,7274.61,Shopping expense
2023-10-21,Education,9759.73,Education expense
2023-08-07,Miscellaneous,5187.19,Miscellaneous expense
2024-01-30,Entertainment,3263.42,Entertainment expense
2023-10-16,Transport,7962.1,Transport expense
2024-01-05,Education,2744.78,Education expense
2023-07-30,Dining,4417.77,Dining expense
2024-01-10,Utilities,830.64,Utilities expense
2024-01-16,Miscellaneous,302.24,Miscellaneous expense
2023-08-02,Rent,9628.35,Rent expense
2023-11-11,Miscellaneous,8368.0,Miscellaneous expense
2024-03-12,Subscriptions,6974.94,Subscriptions expense
2024-03-04,Travel,4119.08,Travel expense
2023-08-30,Travel,1774.28,Travel expense
2023-12-23,Entertainment,1606.55,Entertainment expense
2023-11-28,Transport,2539.92,Transport expense
2023-12-21,Transport,5514.81,Transport expense
2024-03-10,Education,7160.23,Education expense
2023-09-30,Utilities,6618.96,Utilities expense
2024-04-29,Travel,2835.34,Travel expense
2023-06-28,Groceries,9550.91,Groceries expense
2024-04-15,Rent,7392.07,Rent expense
2023-12-28,Rent,5565.82,Rent expense
2024-05-14,Transport,6136.62,Transport expense
2024-02-19,Utilities,4225.02,Utilities expense
2023-11-08,Rent,2514.92,Rent expense
2023-06-20,Rent,3591.93,Rent expense
2024-03-26,Rent,7590.57,Rent expense
2023-08-16,Groceries,193.22,Groceries expense
2024-02-27,Healthcare,1204.92,Healthcare expense
2024-02-16,Transport,507.73,Transport expense
2024-03-02,Miscellaneous,455.25,Miscellaneous expense
2024-05-28,Miscellaneous,8561.83,Miscellaneous expense
2024-05-01,Utilities,7051.4,Utilities expense
2023-06-05,Subscriptions,4768.03,Subscriptions expense
2023-11-17,Education,1023.45,Education expense
2023-12-01,Utilities,4941.58,Utilities expense
2024-03-25,Subscriptions,4761.04,Subscriptions expense
2023-07-02,Groceries,1773.36,Groceries expense
2023-12-08,Subscriptions,4366.82,Subscriptions expense
2023-10-25,Miscellaneous,4015.12,Miscellaneous expense
2023-10-16,Shopping,6177.71,Shopping expense
2024-04-27,Shopping,6369.18,Shopping expense
2023-12-11,Education,500.77,Education expense
2023-06-26,Dining,3777.4,Dining expense
2024-03-07,Rent,6277.31,Rent expense
2024-01-31,Healthcare,5056.21,Healthcare expense
2023-09-07,Utilities,8572.07,Utilities expense
2023-12-19,Subscriptions,6604.0,Subscriptions expense
2023-07-07,Transport,1671.2,Transport expense
2023-10-02,Subscriptions,752.16,Subscriptions expense
2024-02-22,Miscellaneous,6442.07,Miscellaneous expense
2024-01-16,Entertainment,313.79,Entertainment expense
2023-07-31,Dining,5878.47,Dining expense
2024-02-15,Utilities,9405.29,Utilities expense
2023-10-01,Groceries,5775.97,Groceries expense
2024-02-05,Subscriptions,3912.29,Subscriptions expense
2023-09-03,Travel,6450.72,Travel expense
2024-02-09,Rent,4609.62,Rent expense
2023-06-13,Subscriptions,5478.89,Subscriptions expense
2024-04-04,Shopping,9417.57,Shopping expense
2023-09-17,Miscellaneous,3891.72,Miscellaneous expense
2023-11-16,Subscriptions,9613.85,Subscriptions expense
2024-02-11,Utilities,9058.24,Utilities expense
2024-01-24,Dining,1998.12,Dining expense
2023-09-12,Transport,740.14,Transport expense
2023-08-02,Rent,1052.74,Rent expense
2023-06-20,Entertainment,231.31,Entertainment expense
2024-04-10,Healthcare,989.71,Healthcare expense
2023-06-02,Entertainment,6845.92,Entertainment expense
2023-11-25,Travel,758.33,Travel expense
2023-07-06,Travel,3223.81,Travel expense
2023-12-15,Entertainment,8456.51,Entertainment expense
2023-11-05,Miscellaneous,281.56,Miscellaneous expense
2023-11-07,Shopping,8153.96,Shopping expense
2023-12-06,Transport,2854.46,Transport expense
2023-09-16,Entertainment,1225.74,Entertainment expense
2024-03-31,Rent,6982.53,Rent expense
2024-05-15,Transport,6307.98,Transport expense
2023-06-26,Subscriptions,8780.85,Subscriptions expense
2024-02-29,Travel,7363.96,Travel expense
2024-04-17,Education,8044.64,Education expense
2024-04-20,Subscriptions,2856.24,Subscriptions expense
2023-09-08,Miscellaneous,1815.52,Miscellaneous expense
2024-01-04,Miscellaneous,7518.62,Miscellaneous expense
2023-11-18,Subscriptions,8078.01,Subscriptions expense
2024-02-02,Entertainment,9905.53,Entertainment expense
2023-12-20,Travel,4155.55,Travel expense
2023-08-25,Rent,3751.58,Rent expense
2023-12-07,Healthcare,7775.31,Healthcare expense
2023-10-19,Healthcare,3441.0,Healthcare expense
2024-02-23,Entertainment,9311.04,Entertainment expense
2023-11-28,Entertainment,8591.21,Entertainment expense
2024-04-15,Groceries,4318.49,Groceries expense
2023-10-29,Shopping,7521.17,Shopping expense
2023-06-28,Travel,7557.7,Travel expense
2023-11-28,Shopping,1076.08,Shopping expense
2024-04-10,Shopping,9030.4,Shopping expense
2023-06-05,Subscriptions,5077.26,Subscriptions expense
2023-06-16,Groceries,8273.25,Groceries expense
2023-09-17,Rent,3234.49,Rent expense
2024-01-25,Groceries,8960.46,Groceries expense
2024-03-24,Healthcare,3922.56,Healthcare expense
2023-07-11,Travel,157.83,Travel expense
2024-04-07,Transport,9058.55,Transport expense
2024-01-15,Subscriptions,958.3,Subscriptions expense
2024-05-16,Dining,3227.17,Dining expense
2023-10-20,Healthcare,9503.12,Healthcare expense
2023-06-19,Entertainment,9508.54,Entertainment expense
2023-12-27,Healthcare,5755.71,Healthcare expense
2024-05-14,Transport,6336.78,Transport expense
2023-08-30,Travel,4512.03,Travel expense
2024-02-01,Utilities,2967.45,Utilities expense
2023-10-10,Miscellaneous,3320.21,Miscellaneous expense
2024-04-03,Healthcare,6741.56,Healthcare expense
2024-05-22,Rent,7536.13,Rent expense
2024-05-03,Miscellaneous,7926.21,Miscellaneous expense
2023-10-23,Education,7906.7,Education expense
2024-03-07,Education,957.5,Education expense
2023-10-10,Shopping,4969.48,Shopping expense
2023-09-29,Utilities,622.71,Utilities expense
2024-04-20,Education,5517.81,Education expense
2023-07-06,Transport,4443.23,Transport expense
2023-11-12,Rent,8882.66,Rent expense
2023-12-23,Entertainment,3541.6,Entertainment expense
2024-02-13,Rent,1214.82,Rent expense
2023-11-22,Transport,1472.77,Transport expense
2024-03-23,Shopping,7627.03,Shopping expense
2023-11-09,Rent,6201.27,Rent expense
2023-06-20,Entertainment,1056.17,Entertainment expense
2024-05-07,Groceries,886.86,Groceries expense
2024-05-22,Rent,7024.64,Rent expense
2023-06-21,Rent,773.99,Rent expense
2023-06-17,Education,8227.51,Education expense
2023-10-30,Healthcare,7077.11,Healthcare expense
2023-06-26,Education,859.42,Education expense
2023-09-17,Healthcare,894.14,Healthcare expense
2023-12-13,Transport,9867.06,Transport expense
2023-11-23,Rent,3773.99,Rent expense
2023-11-17,Subscriptions,3737.89,Subscriptions expense
2023-10-26,Shopping,8137.36,Shopping expense
2023-06-18,Shopping,9475.12,Shopping expense
2023-06-07,Transport,9860.71,Transport expense
2024-03-23,Rent,7546.11,Rent expense
2024-02-06,Transport,3793.78,Transport expense
2023-06-18,Shopping,880.83,Shopping expense
2023-07-08,Healthcare,7782.61,Healthcare expense
2023-12-27,Subscriptions,5606.12,Subscriptions expense
2024-01-21,Subscriptions,4271.01,Subscriptions expense
2023-12-17,Education,9068.23,Education expense
2023-06-11,Dining,1156.41,Dining expense
2024-02-18,Shopping,4951.62,Shopping expense
2023-09-17,Subscriptions,162.97,Subscriptions expense
2023-08-01,Shopping,4713.17,Shopping expense
2023-10-09,Subscriptions,610.22,Subscriptions expense
2023-08-28,Healthcare,1232.24,Healthcare expense
2023-09-11,Dining,1219.39,Dining expense
2023-08-16,Entertainment,6509.64,Entertainment expense
2023-09-12,Entertainment,7473.15,Entertainment expense
2023-07-15,Education,5854.52,Education expense
2024-02-03,Groceries,9623.62,Groceries expense
2024-05-01,Healthcare,3779.96,Healthcare expense
2024-04-08,Entertainment,2892.84,Entertainment expense
2023-11-23,Utilities,8692.56,Utilities expense
2023-10-10,Rent,2274.78,Rent expense
2023-12-03,Dining,9634.06,Dining expense
2024-05-12,Education,170.94,Education expense
2024-03-21,Travel,9700.29,Travel expense
2023-09-09,Groceries,479.44,Groceries expense
2023-07-13,Rent,8916.87,Rent expense
2023-08-08,Rent,5300.63,Rent expense
2024-02-20,Education,9930.0,Education expense
2024-04-16,Dining,784.28,Dining expense
2023-12-16,Subscriptions,5560.85,Subscriptions expense
2023-09-24,Transport,9694.56,Transport expense
2024-04-17,Dining,5254.82,Dining expense
2023-09-23,Education,6312.52,Education expense
2024-04-04,Healthcare,6972.7,Healthcare expense
2024-05-01,Healthcare,4572.68,Healthcare expense
2024-05-30,Healthcare,6294.2,Healthcare expense
2023-09-28,Subscriptions,5863.93,Subscriptions expense
2023-06-18,Entertainment,9016.52,Entertainment expense
2023-12-26,Shopping,502.19,Shopping expense
2023-09-05,Entertainment,2845.58,Entertainment expense
2023-08-27,Education,9506.59,Education expense
2024-05-24,Shopping,8908.12,Shopping expense
2023-10-05,Subscriptions,4583.78,Subscriptions expense
2023-12-12,Travel,6220.32,Travel expense
2024-04-05,Groceries,2809.94,Groceries expense
2023-12-31,Groceries,1921.81,Groceries expense
2023-12-30,Healthcare,4663.8,Healthcare expense
2023-08-22,Healthcare,3565.85,Healthcare expense
2023-06-20,Miscellaneous,5857.38,Miscellaneous expense
2023-07-02,Dining,823.46,Dining expense
2023-11-06,Healthcare,9745.23,Healthcare expense
2023-12-09,Groceries,9862.8,Groceries expense
2023-07-23,Education,6996.71,Education expense
2024-04-30,Education,5384.16,Education expense
2024-05-01,Travel,3129.8,Travel expense
2023-11-13,Utilities,8147.26,Utilities expense
2024-05-16,Subscriptions,6863.08,Subscriptions expense
2023-12-28,Education,1668.04,Education expense
2023-11-07,Miscellaneous,9113.73,Miscellaneous expense
2024-01-10,Rent,8234.25,Rent expense
2023-10-11,Entertainment,9500.51,Entertainment expense
2023-06-20,Education,7270.91,Education expense
2023-09-03,Miscellaneous,6153.48,Miscellaneous expense
2024-02-22,Groceries,4211.52,Groceries expense
2023-06-28,Groceries,9330.65,Groceries expense
2023-06-12,Transport,8667.34,Transport expense
2024-05-30,Dining,499.93,Dining expense
2024-04-10,Education,312.35,Education expense
2023-12-20,Shopping,3795.81,Shopping expense
2023-06-22,Shopping,8115.01,Shopping expense
2023-10-22,Entertainment,9873.4,Entertainment expense
2024-02-27,Education,1546.65,Education expense
2023-09-17,Utilities,5961.6,Utilities expense
2023-10-26,Rent,3839.86,Rent expense
2024-04-03,Subscriptions,9700.65,Subscriptions expense
2023-09-06,Subscriptions,8429.08,Subscriptions expense
2024-01-09,Shopping,8391.37,Shopping expense
2023-12-06,Shopping,4713.5,Shopping expense
2024-03-24,Education,4177.45,Education expense
2023-07-23,Transport,2770.4,Transport expense
2024-05-31,Transport,610.94,Transport expense
2023-11-04,Subscriptions,8653.99,Subscriptions expense
2024-05-08,Utilities,8138.37,Utilities expense
2024-01-03,Shopping,9997.19,Shopping expense
2024-02-17,Healthcare,9966.54,Healthcare expense
2023-12-25,Dining,5576.55,Dining expense
2024-01-28,Shopping,7701.42,Shopping expense
2023-10-02,Dining,9450.42,Dining expense
2023-11-21,Utilities,8503.99,Utilities expense
2023-07-27,Education,2511.11,Education expense
2024-02-25,Healthcare,4532.91,Healthcare expense
2023-06-06,Rent,1335.14,Rent expense
2024-01-18,Dining,9542.81,Dining expense
2024-03-31,Shopping,6081.44,Shopping expense
2024-04-14,Utilities,2325.0,Utilities expense
2024-03-17,Miscellaneous,6733.42,Miscellaneous expense
2023-07-28,Travel,6200.38,Travel expense
2023-06-02,Subscriptions,3613.72,Subscriptions expense
2024-03-24,Transport,1179.9,Transport expense
2023-09-20,Groceries,6732.15,Groceries expense
2024-04-02,Transport,5227.06,Transport expense
2023-11-11,Transport,7734.57,Transport expense
2024-04-01,Dining,5225.63,Dining expense
2024-01-24,Groceries,8529.21,Groceries expense
2023-11-20,Miscellaneous,5541.47,Miscellaneous expense
2024-02-04,Rent,5631.33,Rent expense
2024-05-02,Shopping,8772.7,Shopping expense
2023-09-08,Healthcare,4064.65,Healthcare expense
2024-01-03,Education,1383.45,Education expense
2023-09-24,Dining,336.39,Dining expense
2023-06-19,Travel,7563.62,Travel expense
2024-04-21,Utilities,6222.08,Utilities expense
2024-04-06,Miscellaneous,7055.59,Miscellaneous expense
2024-01-11,Rent,2168.99,Rent expense
2024-02-01,Shopping,1406.9,Shopping expense
2024-05-18,Miscellaneous,194.72,Miscellaneous expense
2024-04-28,Entertainment,3538.35,Entertainment expense
2023-08-05,Entertainment,5919.68,Entertainment expense
2024-02-25,Transport,3952.83,Transport expense
2024-04-18,Groceries,4402.88,Groceries expense
2023-07-30,Transport,9046.38,Transport expense
2024-02-08,Rent,3515.14,Rent expense
2023-08-27,Subscriptions,5164.2,Subscriptions expense
2023-10-10,Rent,7847.35,Rent expense
2023-07-12,Rent,3995.6,Rent expense
2024-03-08,Education,6239.76,Education expense
2023-11-03,Shopping,8630.52,Shopping expense
2023-08-31,Subscriptions,9497.73,Subscriptions expense
2024-04-04,Groceries,1513.38,Groceries expense
2023-08-03,Dining,9269.55,Dining expense
